primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
Rip Leaving Sleepy Hollow	Rip Leaving Sleepy Hollow	0	1896	\N	1	Drama,Short
Rip Meeting the Dwarf	Rip Meeting the Dwarf	0	1896	\N	1	Fantasy,Short
Rip Passing Over the Mountain	Rip Passing Over the Mountain	0	1896	\N	1	Fantasy,Short
Rip's Toast	Rip's Toast	0	1896	\N	1	Drama,Short
Rip's Toast to Hudson	Rip's Toast to Hudson	0	1896	\N	1	Fantasy,Short
Rip's Twenty Years' Sleep	Rip's Twenty Years' Sleep	0	1896	\N	0	Drama,Short
French Regiment Going to the Parade	Le régiment	0	1896	\N	\N	Documentary,Short
Réunion d'officiers	Réunion d'officiers	0	1896	\N	\N	Documentary,Short
Sac au dos	Sac au dos	0	1896	\N	\N	Short
Saída do Pessoal Operário da Fábrica Confiança	Saída do Pessoal Operário da Fábrica Confiança	0	1896	\N	1	Documentary,Short
Salut malencontreux d'un déserteur	Salut malencontreux d'un déserteur	0	1896	\N	\N	Short
Rescue on the River, Pt. 2	Sauvetage en rivière, 1er	0	1896	\N	\N	Documentary,Short
Rescue on the River, Pt. 1	Sauvetage en rivière, 2e	0	1896	\N	\N	Documentary,Short
The Soldier's Courtship	The Soldier's Courtship	0	1896	\N	\N	Comedy,Short
Closing Hours at Vibert's Perfume Factory	Sortie des ateliers Vibert	0	1896	\N	\N	Documentary,Short
Conjuring	Séance de prestidigitation	0	1896	\N	\N	Short
Tempête sur la jetée du treport	Tempête sur la jetée du treport	0	1896	\N	\N	Documentary,Short
The Terrible Railway Accident	The Terrible Railway Accident	0	1896	\N	\N	Short
Tom Old Boot	Tom Old Boot	0	1896	\N	\N	Short
Les tribulations d'un concierge	Les tribulations d'un concierge	0	1896	\N	\N	Comedy,Short
Academy for Young Ladies	Un lycée de jeunes filles	0	1896	\N	\N	Short
Un petit diable	Un petit diable	0	1896	\N	\N	Short
Une altercation au café	Une altercation au café	0	1896	\N	\N	Short
A Terrible Night	Une nuit terrible	0	1896	\N	1	Comedy,Horror,Short
Card Party	Une partie de cartes	0	1896	\N	1	Biography,Short
La voiture du potier	La voiture du potier	0	1896	\N	\N	Short
The Wandering Negro Minstrels	The Wandering Negro Minstrels	0	1896	\N	\N	Music,Short
A Watermelon Feast	A Watermelon Feast	0	1896	\N	\N	Documentary,Short
L'arroseur arrosé	L'arroseur arrosé	0	1897	\N	1	Comedy,Short
Au réfectoire	Au réfectoire	0	1897	\N	\N	Comedy,Short
The Bewitched Inn	L'auberge ensorcelée	0	1897	\N	2	Comedy,Horror,Short
L'aveugle	L'aveugle	0	1897	\N	\N	Short
Baignade dans le torrent	Baignade dans le torrent	0	1897	\N	1	Short
Ballet libella	Ballet libella	0	1897	\N	\N	Documentary,Short
Buffalo Bill and Escort	Buffalo Bill and Escort	0	1897	\N	\N	News,Short
Les cambrioleurs	Les cambrioleurs	0	1897	\N	1	Comedy,Short
Chez le magnétiseur	Chez le magnétiseur	0	1897	\N	1	Comedy,Short
En classe	En classe	0	1897	\N	\N	Comedy,Short
Le cocher de fiacre endormi	Le cocher de fiacre endormi	0	1897	\N	\N	Comedy,Short
The Corbett-Fitzsimmons Fight	The Corbett-Fitzsimmons Fight	0	1897	\N	20	Documentary,News,Sport
Le Coucher d'Yvette	Le Coucher d'Yvette	0	1897	\N	\N	Short
Behind the Scenes	Dans les coulisses	0	1897	\N	\N	Comedy,Short
Danse fleur de lotus	Danse fleur de lotus	0	1897	\N	1	Documentary,Short
Faust et Marguerite	Faust et Marguerite	0	1897	\N	\N	Short
The Hallucinated Alchemist	L'hallucination de l'alchimiste	0	1897	\N	2	Fantasy,Horror,Short
The Haunted Castle	The Haunted Castle	0	1897	\N	1	Horror,Short
Henley Regatta	Henley Regatta	0	1897	\N	\N	News,Short,Sport
The Hypnotist at Work	Le magnétiseur	0	1897	\N	\N	Short
A Badly Managed Hotel	L'hôtel empoisonné	0	1896	\N	\N	Comedy,Short
Idylle	Idylle	0	1897	\N	\N	Short
Idylle interrompue	Idylle interrompue	0	1897	\N	\N	Comedy,Short
The Devil's Laboratory	Le cabinet de Méphistophélès	0	1897	\N	1	Horror,Short
The Last Days of Pompeii	The Last Days of Pompeii	0	1900	\N	\N	Drama,Short
Leçon de danse	Leçon de danse	0	1897	\N	\N	Comedy,Short
Niagara Falls	Les chutes	0	1897	\N	1	Documentary,Short
Le planton du colonel	Le planton du colonel	0	1897	\N	\N	Comedy,Short
Le pêcheur dans le torrent	Le pêcheur dans le torrent	0	1897	\N	1	Comedy,Short
Riña en un café	Riña en un café	0	1897	\N	1	Short
Salida de los trabajadores de la fábrica España Industrial	Salida de los trabajadores de la fábrica España Industrial	0	1897	\N	1	Documentary,Short
Salida de misa de doce del Pilar de Zaragoza	Salida de misa de doce del Pilar de Zaragoza	0	1897	\N	\N	Documentary,Short
Salida del público de la iglesia parroquial de Santa María de Sans	Salida del público de la iglesia parroquial de Santa María de Sans	0	1897	\N	1	Documentary,Short
Slagsmål i gamla Stockholm	Slagsmål i gamla Stockholm	0	1897	\N	1	Short
The Twins' Tea Party	The Twins' Tea Party	0	1896	\N	1	Comedy,Short
Une nuit agitée	Une nuit agitée	0	1897	\N	\N	Comedy,Short
The X-Ray Fiend	The X-Ray Fiend	0	1897	\N	1	Comedy,Horror,Short
Battle of Santiago Bay	Battle of Santiago Bay	0	1898	\N	\N	Short,War
Výstavní párkar a lepic plakátù	Výstavní párkar a lepic plakátù	0	1898	\N	1	Comedy,Short
A Sea Cave Near Lisbon	A Sea Cave Near Lisbon	0	1896	\N	1	Documentary,Short
Brittania	Brittania	0	1898	\N	\N	Short
The Burglar on the Roof	The Burglar on the Roof	0	1898	\N	1	Crime,Short
The Cavalier's Dream	The Cavalier's Dream	0	1898	\N	1	Horror,Short
